AGE;(UNIT);(UNIT_NORM);(CAT);(CAT_NAME);(NAME);6-7;6-7;6-7;8-9;8-9;8-9;10-11;10-11;10-11;12-13;12-13;12-13;14-15;14-15;14-15;16-17;16-17;16-17;18-19;18-19;18-19;20-24;20-24;20-24;25-29;25-29;25-29;30-34;30-34;30-34;35-39;35-39;35-39;40-44;40-44;40-44;45-49;45-49;45-49;50-54;50-54;50-54;55-59;55-59;55-59;60-64;60-64;60-64;65-69;65-69;65-69;70-74;70-74;70-74;75-79;75-79;75-79;80-84;80-84;80-84;85-89;85-89;85-89;90;90;90
2KG_MEDICINE_BALL;m;m;STRENGTH;Kraft;Medizinball (2 kg);;;;;;;;;;;;;;;;;;;11;13;14;11;13,5;14,5;10,5;13;14,5;10;13;14;9,5;12,5;14;9;12;13,5;8;11,5;13,5;7,5;11;13;7;10,5;12,5;6,5;10;12,5;6;9,5;11,5;6;9;10,5;6;8,5;10;5,5;8;9,5;5;7,5;9;4,5;6,5;8
2KG_BALL_THRUSTING;m;m;STRENGTH;Kraft;Kugelstoßen (2 kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3KG_BALL_THRUSTING;m;m;STRENGTH;Kraft;Kugelstoßen (3 kg);;;;;;;;;;6,25;6,75;7,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,5;6,25;7,25;5;6;6,75;4,5;5,25;6,25
4KG_BALL_THRUSTING;m;m;STRENGTH;Kraft;Kugelstoßen (4 kg);;;;;;;;;;;;;7;7,5;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6,75;7,75;5,75;6,5;7,5;;;;;;;;;
5KG_BALL_THRUSTING;m;m;STRENGTH;Kraft;Kugelstoßen (5 kg);;;;;;;;;;;;;;;;7,5;8;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;7;8;5,75;6,75;7,5;;;;;;;;;;;;;;;
6KG_BALL_THRUSTING;m;m;STRENGTH;Kraft;Kugelstoßen (6 kg);;;;;;;;;;;;;;;;;;;7,75;8,25;8,75;;;;;;;;;;;;;;;;;;;6,25;7;8;6;6,75;7,5;;;;;;;;;;;;;;;;;;;;;
7.26KG_BALL_THRUSTING;m;m;STRENGTH;Kraft;Kugelstoßen (7,26 kg);;;;;;;;;;;;;;;;;;;;;;7,75;8,5;9;7,5;8,25;8,75;7;7,75;8,25;6,75;7,25;8;6,25;7;7,75;6;6,75;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;
3KG_STONE_THRUSTING;m;m;STRENGTH;Kraft;Steinstoßen (3 kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;10,3;11,6;8,8;10,1;11,4;8,4;9,7;11
5KG_STONE_THRUSTING;m;m;STRENGTH;Kraft;Steinstoßen (5 kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,4;10,7;12;9,2;10,5;11,8;;;;;;;;;
7.5KG_STONE_THRUSTING;m;m;STRENGTH;Kraft;Steinstoßen (7,5 kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,65;8,95;10,25;7,25;8,55;9,85;;;;;;;;;;;;;;;
