AGE;(UNIT);(UNIT_NORM);(CAT);(CAT_NAME);(NAME);6-7;6-7;6-7;8-9;8-9;8-9;10-11;10-11;10-11;12-13;12-13;12-13;14-15;14-15;14-15;16-17;16-17;16-17;18-19;18-19;18-19;20-24;20-24;20-24;25-29;25-29;25-29;30-34;30-34;30-34;35-39;35-39;35-39;40-44;40-44;40-44;45-49;45-49;45-49;50-54;50-54;50-54;55-59;55-59;55-59;60-64;60-64;60-64;65-69;65-69;65-69;70-74;70-74;70-74;75-79;75-79;75-79;80-84;80-84;80-84;85-89;85-89;85-89;90;90;90
LEVEL;;;;;;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold
2KG_MEDICINE_BALL;m;m;STRENGTH;Kraft;Medizinball (2 kg);;;;;;;;;;;;;;;;;;;8;9;10;8;9;10;8;9;10;7,5;8,5;9,5;7;8,5;9,5;6,5;8,5;9,5;6;8,5;9,5;5,5;7,5;9;5,5;7,5;9;5;7;8,5;5;7;8,5;4,5;6,5;7,5;4,5;6,5;7,5;4;5,5;6,5;3,5;4,5;5,5;3;4;5
2KG_BALL_THRUSTING;m;m;STRENGTH;Kraft;Kugelstoßen (2 kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,25;5,25;6,25;4;5;5,75;3,75;4,5;5,5;3,25;4,25;5
3KG_BALL_THRUSTING;m;m;STRENGTH;Kraft;Kugelstoßen (3 kg);;;;;;;;;;4,75;5,25;5,75;5,5;6;6,5;5,75;6,25;6,75;;;;;;;;;;;;;;;;;;;;;;5,25;6;7;5;5,75;6,5;4,75;5,5;6,25;4,5;5,25;6,15;4,25;5;6;;;;;;;;;;;;
4KG_BALL_THRUSTING;m;m;STRENGTH;Kraft;Kugelstoßen (4 kg);;;;;;;;;;;;;;;;;;;6,5;7;7,5;6,5;7;7,5;6,5;7;7,5;6,25;6,75;7,25;6;6,5;7;5,5;6;6,5;5,25;5,75;6,25;;;;;;;;;;;;;;;;;;;;;;;;;;;
3KG_STONE_THRUSTING;m;m;STRENGTH;Kraft;Steinstoßen (3 kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,8;10,6;11,4;9,4;10,3;11,1;9,05;9,9;10,7;8,5;9,4;10,2;7,9;8,8;9,6;7,4;8,3;9,1;6,9;7,8;8,6;6,45;7,35;8,15;6,1;7;7,8
5KG_STONE_THRUSTING;m;m;STRENGTH;Kraft;Steinstoßen (5 kg);;;;;;;;;;;;;;;;;;;10,65;11,25;11,85;10,8;11,4;12;10,1;10,7;11,35;9,5;10,15;10,7;9;9,5;10,2;8,6;9,2;9,85;8,3;8,95;9,7;;;;;;;;;;;;;;;;;;;;;;;;;;;
STANDING_LONG_JUMP;m;m;STRENGTH;Kraft;Standweitsprung;1,05;1,25;1,4;1,15;1,3;1,5;1,3;1,45;1,65;1,4;1,6;1,8;1,55;1,7;1,9;1,65;1,8;2;1,65;1,85;2,05;1,6;1,8;2;1,5;1,7;1,95;1,35;1,6;1,85;1,25;1,5;1,8;1,15;1,4;1,65;1,1;1,35;1,6;1;1,3;1,55;0,95;1,25;1,5;0,95;1,2;1,45;0,9;1,15;1,4;0,9;1,15;1,35;0,9;1,15;1,35;0,85;1,1;1,3;0,85;1,05;1,25;0,8;1;1,2
ARTISTIC_GYMNASTICS_STRENGTH;;;STRENGTH;Kraft;Gerätturnen;Boden;Boden;Boden;Boden;Boden;Boden;Barren;Barren;Barren;Reck;Reck;Reck;Boden;Boden;Boden;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Boden;Boden;Boden;Boden;Boden;Boden;Reck;Reck;Reck;Reck;Reck;Reck;Barren;Barren;Barren;Barren;Barren;Barren;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden
PUSH_UPS;;;STRENGTH;Kraft;Push-Ups/Liegestützen;;;;;;;;;;;;;;;;;;;8;12;17;8;11;17;8;11;16;7;10;16;7;10;15;6;9;14;6;9;14;5;8;13;5;8;12;5;8;12;4;7;12;4;7;11;4;7;11;3;7;10;3;6;10;3;5;8
CRUNCHES;;;STRENGTH;Kraft;Crunches/Curl-up-Test/Bauchpresse;;;;;;;;;;;;;;;;;;;32;41;52;32;41;53;31;41;52;29;39;50;27;37;48;24;34;45;22;31;41;19;28;38;16;25;35;13;22;32;11;20;30;10;18;28;9;18;28;8;16;26;7;14;24;5;12;23
